MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software 4.Confirmation time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.Camera 4.Transparency,UAV.On-board analysis system 4.Analysis time,UAV.On-board analysis system 4.Image recognition algorithm accuracy,UAV.On-board analysis system 4.Transmission delay,UAV.On-board navigation system 4.Navigation algorithm accuracy
37.5000,0.0307,0.0149,0.0009,0.0008,8.0921,0.8383,0.6643,5.0474,8.7908,0.0266,0.0674,0.0220,0.0674,1.3062,49.6230,20.3239,57.9325,0.1835,0.0010,0.1676,57.9335,0.3984,100.0000,100.0000,0.0093,0.0104,0.1479,1.0000,0.4062,0.9995,1.4827,0.9826
37.5000,0.0187,0.0166,0.0011,0.0009,16.2973,3.0664,0.8711,12.0368,8.6076,0.0329,0.1559,0.0255,0.1559,1.0821,-12.7479,-43.8475,129.6583,0.3702,0.0019,0.3117,129.6601,0.7192,100.0000,100.0000,0.0314,0.0145,0.2658,0.9700,0.4376,0.9939,1.0693,0.9966
37.5000,0.0270,0.0129,0.0006,0.0009,10.5123,4.7155,0.3193,12.7616,9.5808,0.0284,0.0876,0.0304,0.0876,1.9891,35.3521,9.3748,74.3441,0.2340,0.0010,0.1777,74.3450,0.4531,100.0000,100.0000,0.0481,0.0121,0.1175,1.0000,0.2962,0.9864,1.2603,0.9893
37.5000,0.0228,0.0134,0.0011,0.0009,9.4193,4.7816,0.8112,0.7945,8.1965,0.0328,0.0968,0.0181,0.0968,1.0562,28.4159,12.2143,82.3209,0.2444,0.0008,0.1564,82.3217,0.4389,100.0000,100.0000,0.0486,0.0140,0.0937,0.9700,0.4275,0.9860,1.2389,0.9925
37.5000,0.0257,0.0128,0.0008,0.0011,16.3406,0.9381,0.2024,12.8121,8.4390,0.0199,0.1362,0.0285,0.1362,1.9810,2.6736,-38.4502,111.9233,0.3207,0.0020,0.3312,111.9253,0.6923,100.0000,100.0000,0.0102,0.0120,0.3090,1.0000,0.3746,0.9806,0.5108,0.9977
37.5000,0.0282,0.0099,0.0006,0.0008,9.2953,5.7461,0.1869,2.6006,8.0432,0.0214,0.0775,0.0249,0.0775,1.7020,43.3252,23.2606,65.1753,0.2012,0.0007,0.1430,65.1760,0.3837,100.0000,100.0000,0.0582,0.0133,0.0716,1.0000,0.2882,0.9936,0.5752,0.9959
37.5000,0.0197,0.0141,0.0008,0.0010,15.8285,0.4145,0.3636,17.5043,8.9966,0.0200,0.1599,0.0216,0.1599,1.7259,-13.8450,-57.4805,130.9193,0.3614,0.0025,0.3905,130.9218,0.7874,82.4957,82.4957,0.0059,0.0084,0.3762,1.0000,0.3988,0.9917,0.9054,0.9939
37.5000,0.0227,0.0169,0.0009,0.0010,15.8700,2.7183,0.8188,13.4390,8.5466,0.0276,0.1866,0.0199,0.1866,1.4894,-33.4060,-53.3831,153.4151,0.4206,0.0018,0.3047,153.4169,0.7669,100.0000,100.0000,0.0281,0.0116,0.2650,0.9700,0.3209,0.9854,1.3142,0.9934
37.5000,0.0297,0.0168,0.0009,0.0010,14.7410,1.2003,0.5984,5.7067,8.8497,0.0209,0.1228,0.0267,0.1228,1.4373,11.8167,-28.1120,101.4090,0.2933,0.0018,0.2989,101.4108,0.6406,100.0000,100.0000,0.0127,0.0127,0.2734,1.0000,0.3217,0.9943,0.7699,0.9913
37.5000,0.0231,0.0122,0.0008,0.0009,11.1559,4.3552,0.8781,10.5361,8.7039,0.0328,0.1059,0.0206,0.1059,1.0655,22.0641,1.4258,89.6253,0.2652,0.0011,0.1907,89.6263,0.4929,100.0000,100.0000,0.0442,0.0101,0.1365,0.9700,0.2868,0.9947,0.8222,0.9988
37.5000,0.0211,0.0164,0.0006,0.0008,11.5488,1.1253,0.1722,12.4537,9.2021,0.0292,0.0962,0.0182,0.0962,1.3285,29.2432,-2.6458,81.3689,0.2399,0.0014,0.2345,81.3703,0.5132,100.0000,100.0000,0.0120,0.0104,0.2121,1.0000,0.3824,0.9805,0.9910,0.9840
37.5000,0.0302,0.0100,0.0006,0.0010,14.4488,3.1853,0.3093,14.0881,8.4876,0.0194,0.1402,0.0309,0.1402,1.3940,-0.0302,-29.8296,115.0331,0.3306,0.0016,0.2767,115.0347,0.6491,100.0000,100.0000,0.0325,0.0148,0.2294,1.0000,0.4437,0.9945,0.5997,0.9831
37.5000,0.0303,0.0129,0.0007,0.0007,12.0810,5.6988,0.4945,13.8677,9.2070,0.0283,0.1169,0.0172,0.1169,1.0630,15.0020,-4.2379,97.7466,0.2792,0.0011,0.1974,97.7477,0.5212,100.0000,100.0000,0.0577,0.0109,0.1288,1.0000,0.4983,0.9833,0.9513,0.9930
