MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software tool.Analysis time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.camera.Transmission delay,UAV.camera.Transparency,UAV.nav.Wireless connection delay rate
50.0000,0.0184,0.0106,0.0006,0.0009,14.0066,1.6549,0.5630,1.3070,8.2711,0.0227,0.1167,0.0205,0.1167,1.4390,15.8401,-16.9348,96.7822,0.2767,0.0017,0.2776,96.7839,0.5847,100.0000,100.0000,0.0172,0.0127,0.2477,0.9631,1.0000,1.1355
50.0000,0.0299,0.0123,0.0011,0.0010,12.7721,2.2604,0.6991,7.3781,8.2410,0.0208,0.1064,0.0193,0.1064,2.9951,23.2474,-8.9507,88.2640,0.2530,0.0015,0.2475,88.2654,0.5448,100.0000,100.0000,0.0237,0.0129,0.2109,0.9240,1.0000,1.2076
50.0000,0.0288,0.0140,0.0011,0.0009,14.4626,2.5258,0.9698,3.4783,8.6097,0.0215,0.1243,0.0329,0.1243,2.9391,10.7350,-26.7581,102.6531,0.3030,0.0017,0.2861,102.6548,0.6338,96.9763,96.9763,0.0273,0.0120,0.2467,1.4350,0.9500,1.0029
50.0000,0.0313,0.0142,0.0010,0.0011,11.1126,4.6238,0.3162,9.1717,9.4728,0.0215,0.0926,0.0302,0.0926,2.9610,32.7759,5.8752,77.3067,0.2369,0.0010,0.1862,77.3077,0.4706,100.0000,100.0000,0.0472,0.0088,0.1302,0.5299,1.0000,0.7648
50.0000,0.0326,0.0147,0.0008,0.0007,15.7095,5.8232,0.6784,17.2674,8.2064,0.0280,0.1582,0.0191,0.1582,1.1823,-13.7272,-47.6489,130.7845,0.3636,0.0018,0.3259,130.7863,0.7382,82.7326,82.7326,0.0710,0.0155,0.2394,1.0112,1.0000,0.7500
50.0000,0.0194,0.0102,0.0008,0.0010,13.4398,2.3052,0.1259,17.1162,8.1161,0.0276,0.1351,0.0183,0.1351,1.0727,2.4018,-31.8181,112.2360,0.3161,0.0019,0.3117,112.2379,0.6591,82.8838,82.8838,0.0284,0.0142,0.2691,0.8719,1.0000,0.8155
50.0000,0.0247,0.0132,0.0010,0.0009,12.0445,0.9141,0.3512,8.3390,8.4144,0.0232,0.1004,0.0185,0.1004,1.9643,27.1518,-5.4244,83.7739,0.2424,0.0015,0.2449,83.7754,0.5271,100.0000,100.0000,0.0099,0.0120,0.2230,0.7542,1.0000,0.7442
50.0000,0.0277,0.0169,0.0008,0.0009,9.8782,3.2567,0.6379,11.3920,8.9197,0.0283,0.0823,0.0254,0.0823,2.7220,39.0368,12.0321,70.1067,0.2184,0.0010,0.1751,70.1077,0.4398,100.0000,100.0000,0.0336,0.0086,0.1329,0.9421,1.0000,0.9262
50.0000,0.0311,0.0089,0.0006,0.0008,12.7782,2.7996,0.6429,12.3335,9.7309,0.0325,0.1065,0.0198,0.1065,2.6937,21.6822,-9.5266,90.0640,0.2653,0.0014,0.2409,90.0654,0.5476,100.0000,100.0000,0.0289,0.0116,0.2004,0.6266,1.0000,1.4891
50.0000,0.0222,0.0138,0.0009,0.0009,12.7660,4.0993,0.2148,6.6064,9.9016,0.0256,0.1064,0.0268,0.1064,2.9107,22.6571,-6.0651,88.9430,0.2652,0.0013,0.2274,88.9443,0.5303,100.0000,100.0000,0.0420,0.0118,0.1736,0.7049,1.0000,0.5192
